name,avg_price,std_dev,volatility_%,lowest_sale,undercut_%,sales_volume,suggested_buy,suggested_sell,net_profit,strategy
Giorgi Mamardashvili,13671.25,680.66,4.98,8000.0,41.48,200.0,7760.0,13398.0,4968.0,Low-Volatility Snipe
Debora C. de Oliveira,55925.0,2673.62,4.78,39500.0,29.37,200.0,38315.0,54806.0,13751.0,Low-Volatility Snipe
Alisson Ramses Becker,70490.0,3411.46,4.84,50500.0,28.36,200.0,48985.0,69080.0,16641.0,Low-Volatility Snipe
Bradley Barcola,9874.0,456.33,4.62,7300.0,26.07,200.0,7081.0,9677.0,2112.0,Low-Volatility Snipe
Desire Doue,46551.25,2149.75,4.62,35000.0,24.81,200.0,33950.0,45620.0,9389.0,Low-Volatility Snipe
Sakina Karchaoui,79962.5,3614.23,4.52,61000.0,23.71,200.0,59170.0,78363.0,15275.0,Low-Volatility Snipe
Maria Francesca Caldentey Oliver,64102.5,2261.93,3.53,49500.0,22.78,200.0,48015.0,62820.0,11664.0,Low-Volatility Snipe
Mike Maignan,28251.25,1277.34,4.52,22000.0,22.13,200.0,21340.0,27686.0,4962.0,Low-Volatility Snipe
Joao Pedro Goncalves Neves,29197.5,1396.02,4.78,22750.0,22.08,200.0,22068.0,28614.0,5115.0,Low-Volatility Snipe
Thibaut Courtois,63815.0,3136.07,4.91,50000.0,21.65,200.0,48500.0,62539.0,10912.0,Low-Volatility Snipe
Theo Hernandez,52278.75,2591.93,4.96,41500.0,20.62,200.0,40255.0,51233.0,8416.0,Low-Volatility Snipe
Ewa Pajor,19467.5,887.98,4.56,15500.0,20.38,200.0,15035.0,19078.0,3089.0,Low-Volatility Snipe
Melvine Malard,13485.0,613.72,4.55,10750.0,20.28,200.0,10428.0,13215.0,2126.0,Low-Volatility Snipe
Fermin Lopez Marin,24606.25,1025.56,4.17,20000.0,18.72,200.0,19400.0,24114.0,3508.0,Low-Volatility Snipe
Robert Lewandowski,9002.0,333.24,3.7,7500.0,16.69,200.0,7275.0,8822.0,1106.0,Low-Volatility Snipe
Aurelien Tchouameni,18280.0,744.56,4.07,15250.0,16.58,200.0,14792.0,17914.0,2226.0,Low-Volatility Snipe
Ferland Mendy,18182.5,643.24,3.54,15250.0,16.13,200.0,14792.0,17819.0,2136.0,Low-Volatility Snipe
Antoine Semenyo,12447.5,508.46,4.08,10500.0,15.65,200.0,10185.0,12199.0,1404.0,Low-Volatility Snipe
William Saliba,153935.0,4388.29,2.85,130000.0,15.55,200.0,126100.0,150856.0,17213.0,Low-Volatility Snipe
Alessia Russo,15200.0,688.66,4.53,13000.0,14.47,200.0,12610.0,14896.0,1541.0,Low-Volatility Snipe
Antonio Rudiger,69462.5,2917.6,4.2,59500.0,14.34,200.0,57715.0,68073.0,6954.0,Low-Volatility Snipe
Moises Caicedo,38470.0,1272.92,3.31,33000.0,14.22,200.0,32010.0,37701.0,3806.0,Low-Volatility Snipe
Marie Katoto,8739.0,257.31,2.94,7500.0,14.18,200.0,7275.0,8564.0,861.0,Low-Volatility Snipe
Sandro Tonali,22070.0,848.13,3.84,19000.0,13.91,200.0,18430.0,21629.0,2118.0,Low-Volatility Snipe
Federico Chiesa,7175.5,292.02,4.07,6200.0,13.59,200.0,6014.0,7032.0,666.0,Low-Volatility Snipe
Piero Hincapie,39183.75,1225.12,3.13,34000.0,13.23,200.0,32980.0,38400.0,3500.0,Low-Volatility Snipe
Guro Reiten,18986.25,607.32,3.2,16500.0,13.1,200.0,16005.0,18607.0,1672.0,Low-Volatility Snipe
Josko Gvardiol,7455.5,361.83,4.85,6500.0,12.82,200.0,6305.0,7306.0,636.0,Low-Volatility Snipe
Irene Paredes Hernandez,8700.5,274.09,3.15,7600.0,12.65,200.0,7372.0,8526.0,728.0,Low-Volatility Snipe
Jude Bellingham,177405.0,7010.47,3.95,155000.0,12.63,200.0,150350.0,173857.0,14814.0,Low-Volatility Snipe
Gabriel dos S. Magalhaes,8918.0,288.08,3.23,7800.0,12.54,200.0,7566.0,8740.0,737.0,Low-Volatility Snipe
Lionel Messi,27435.0,1241.87,4.53,24000.0,12.52,200.0,23280.0,26886.0,2262.0,Low-Volatility Snipe
Ryan Gravenberch,102782.5,2729.23,2.66,90000.0,12.44,200.0,87300.0,100727.0,8391.0,Low-Volatility Snipe
Gleison Bremer Silva Nascimento,31853.75,1408.04,4.42,28000.0,12.1,200.0,27160.0,31217.0,2496.0,Low-Volatility Snipe
Virgil van Dijk,243375.0,10350.36,4.25,214000.0,12.07,200.0,207580.0,238508.0,19003.0,Low-Volatility Snipe
Eduardo Camavinga,25013.75,742.3,2.97,22000.0,12.05,200.0,21340.0,24513.0,1947.0,Low-Volatility Snipe
Salma Celeste Paralluelo Ayingono,60820.0,2524.77,4.15,53500.0,12.04,200.0,51895.0,59604.0,4729.0,Low-Volatility Snipe
Patricia Guijarro Gutierrez,106565.0,4262.53,4.0,94000.0,11.79,200.0,91180.0,104434.0,8032.0,Low-Volatility Snipe
Micky van de Ven,86962.5,3016.68,3.47,77000.0,11.46,200.0,74690.0,85223.0,6272.0,Low-Volatility Snipe
Frenkie de Jong,185920.0,9157.67,4.93,165000.0,11.25,200.0,160050.0,182202.0,13042.0,Low-Volatility Snipe
Murillo Costa dos Santos,22245.0,1004.37,4.52,19750.0,11.22,200.0,19158.0,21800.0,1552.0,Low-Volatility Snipe
Claudia Pina Medina,7071.0,214.92,3.04,6300.0,10.9,200.0,6111.0,6930.0,473.0,Low-Volatility Snipe
